scenario,metric,n,meanDiff,sdDiff,ci95Low,ci95High,pairedT
"Dual-track, T=15",cumulativeInfectedPersonHours_right,30,-17649.233333333334,1015.8203643576348,-18028.54689120371,-17269.919775462957,-95.16331389410293
"Dual-track, T=15",totalInfectedPeak,30,-134.43333333333334,26.172746200545348,-144.2063973797951,-124.66026928687158,-28.13314605318092
"Dual-track, T=30",cumulativeInfectedPersonHours_right,30,-10155.033333333333,1317.343342340635,-10646.937421548835,-9663.12924511783,-42.22240816126812
"Dual-track, T=30",totalInfectedPeak,30,-1.1,3.2731931051265946,-2.3222303921692675,0.12223039216926734,-1.8406943736745425
"Dual-track, T=60",cumulativeInfectedPersonHours_right,30,-2486.6,639.8586912964348,-2725.5271619725927,-2247.672838027407,-21.285432705974948
"Dual-track, T=60",totalInfectedPeak,30,0.0,0.0,0.0,0.0,inf
Online-only,cumulativeInfectedPersonHours_right,30,-3420.733333333333,1224.5654523652204,-3877.993588078796,-2963.47307858787,-15.300225939394783
Online-only,totalInfectedPeak,30,-0.6333333333333333,2.008316044185609,-1.3832508687333331,0.11658420206666664,-1.727272727272727
Offline-only,cumulativeInfectedPersonHours_right,30,-9082.966666666667,1162.1594787390363,-9516.92414789126,-8649.009185442073,-42.807771423924926
Offline-only,totalInfectedPeak,30,-1.0666666666666667,3.2048813344359712,-2.263389024448898,0.13005569111556503,-1.822961082504471
Weak dual-track,cumulativeInfectedPersonHours_right,30,-3899.766666666667,1272.3681337632172,-4374.876735998476,-3424.656597334858,-16.787517037404545
Weak dual-track,totalInfectedPeak,30,-0.5666666666666667,1.9241358711314316,-1.2851508088569172,0.15181747552358404,-1.6130675623083028
Strong dual-track,cumulativeInfectedPersonHours_right,30,-15584.533333333333,1303.787208503547,-16071.375477983682,-15097.691188682984,-65.47080995414308
Strong dual-track,totalInfectedPeak,30,-1.3333333333333333,3.9595657488593656,-2.8118594827586687,0.14519281609200219,-1.8443859495213548
